ano,regiao,rede,ensino,anos_escolares,taxa_aprovacao,indicador_rendimento,nota_saeb_matematica,nota_saeb_lingua_portuguesa,nota_saeb_media_padronizada,ideb,projecao
2019,Nordeste,publica,fundamental,iniciais (1-5),92.5,0.92667001,210.3,198.02,5.582819,5.2,4.6
2019,Nordeste,total,fundamental,finais (6-9),87.2,0.87454098,256.52,255.02,5.1925001,4.5,4.6
2019,Nordeste,total,fundamental,iniciais (1-5),93.7,0.93875003,213.97,201.61,5.7184381,5.4,4.9
2019,Nordeste,total,medio,todos (1-4),86.3,0.86343402,267.55,270.26,4.4931879,3.9,4.6
2021,Nordeste,total,fundamental,iniciais (1-5),97.1,0.971641,205.24,196.74,5.462852,5.3,
2021,Nordeste,publica,fundamental,iniciais (1-5),96.7,0.967953,200.05,192.24,5.281828,5.1,
2021,Nordeste,privada,fundamental,iniciais (1-5),98.9,0.988796,238.16,230.69,6.709432,6.6,
2021,Nordeste,estadual,fundamental,iniciais (1-5),94.4,0.949618,198.66,190.17,5.217615,5,
2021,Nordeste,total,fundamental,finais (6-9),94.5,0.944938,249.51,252.74,5.0375,4.8,
2021,Nordeste,publica,fundamental,finais (6-9),93.9,0.938913,242.7,246.55,4.820833,4.5,
2021,Nordeste,privada,fundamental,finais (6-9),98.3,0.982499,282.28,282.48,6.079333,6,
2021,Nordeste,estadual,fundamental,finais (6-9),93.8,0.938125,243.1,248.04,4.852333,4.6,
2021,Nordeste,total,medio,todos (1-4),91,0.908373,259.84,266.2,4.323982,3.9,
2021,Nordeste,privada,medio,todos (1-4),98.1,0.949781,311.91,309.45,5.702758,5.4,
2021,Nordeste,estadual,medio,todos (1-4),90.5,0.909808,253.64,261.06,4.159958,3.8,
